iter	Passed	Remaining
0	1	112
1	1	90
2	2	82
3	3	73
4	3	71
5	4	70
6	5	68
7	5	67
8	6	66
9	7	65
10	7	64
11	8	63
12	9	62
13	9	61
14	10	60
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	56
21	15	55
22	16	54
23	17	53
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	44
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	33
51	36	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
