iter	Passed	Remaining
0	0	922
1	1	852
2	2	799
3	3	778
4	3	762
5	4	750
6	5	743
7	5	728
8	6	723
9	7	713
10	7	704
11	8	698
12	9	692
13	9	687
14	10	684
15	11	687
16	12	694
17	12	697
18	13	707
19	14	701
20	14	697
21	15	694
22	16	692
23	16	690
24	17	688
25	18	684
26	18	683
27	19	682
28	20	679
29	20	677
30	21	675
31	22	672
32	22	670
33	23	670
34	24	668
35	24	667
36	25	665
37	26	667
38	27	670
39	27	670
40	28	671
41	29	668
42	30	668
43	30	667
44	31	668
45	32	671
46	33	670
47	33	669
48	34	667
49	35	666
50	35	664
51	36	662
52	36	659
53	37	657
54	38	658
55	38	656
56	39	655
57	40	654
58	40	652
59	41	655
60	42	656
61	43	657
62	44	655
63	44	654
64	45	653
65	46	652
66	46	651
67	47	650
68	48	648
69	48	647
70	49	645
71	50	644
72	50	643
73	51	641
74	51	639
75	52	638
76	53	637
77	53	635
78	54	634
79	55	633
80	55	633
81	56	636
82	57	631
83	58	634
84	58	633
85	59	632
86	60	631
87	60	630
88	61	629
89	62	628
90	62	627
91	63	626
92	64	625
93	64	624
94	65	623
95	66	622
96	66	621
97	67	619
98	67	618
99	68	617
100	69	616
101	69	614
102	70	616
103	72	622
104	73	624
105	74	624
106	75	629
107	76	628
108	76	627
109	77	625
110	77	624
111	78	622
112	79	621
113	79	619
114	80	617
115	80	616
116	81	613
117	81	612
118	82	610
119	83	609
120	83	608
121	84	605
122	84	604
123	85	603
124	86	602
125	86	601
126	87	599
127	88	600
128	88	600
129	89	599
130	90	597
131	90	596
132	91	595
133	91	594
134	92	592
135	92	590
136	93	589
137	94	587
138	94	585
139	95	584
140	95	582
141	95	579
142	96	578
143	97	576
144	97	575
145	98	573
146	98	572
147	99	570
148	99	568
149	100	567
150	100	567
151	101	566
152	102	566
153	103	565
154	103	564
155	104	563
156	104	562
157	105	560
158	105	559
159	106	558
160	106	555
161	107	554
162	107	553
163	108	552
164	108	550
165	109	549
166	109	548
167	110	546
168	110	545
169	111	544
170	111	542
171	112	541
172	113	540
173	113	539
174	114	537
175	114	536
176	115	535
177	115	534
178	116	534
179	117	534
180	118	534
181	118	534
182	119	533
183	119	531
184	120	530
185	121	530
186	121	529
187	122	528
188	123	528
189	123	527
190	124	526
191	124	525
192	125	524
193	126	524
